mes,hora,facultad,cantpromedio
2,11,ECONOMICAS,4
2,11,EXACTAS,8
2,11,HUMANAS,7
2,11,VETERINARIA,46
2,12,ECONOMICAS,13
2,12,EXACTAS,48
2,12,HUMANAS,26
2,12,VETERINARIA,63
2,13,ECONOMICAS,10
2,13,EXACTAS,34
2,13,HUMANAS,22
2,13,VETERINARIA,24
2,14,ECONOMICAS,3
2,14,EXACTAS,10
2,14,HUMANAS,7
2,14,VETERINARIA,10
3,11,ECONOMICAS,27
3,11,EXACTAS,29
3,11,HUMANAS,18
3,11,VETERINARIA,62
3,12,ECONOMICAS,25
3,12,EXACTAS,81
3,12,HUMANAS,47
3,12,VETERINARIA,94
3,13,ECONOMICAS,27
3,13,EXACTAS,74
3,13,HUMANAS,39
3,13,VETERINARIA,43
3,14,ECONOMICAS,17
3,14,EXACTAS,30
3,14,HUMANAS,18
3,14,VETERINARIA,17
4,11,ECONOMICAS,43
4,11,EXACTAS,59
4,11,HUMANAS,25
4,11,VETERINARIA,76
4,12,ECONOMICAS,35
4,12,EXACTAS,119
4,12,HUMANAS,52
4,12,VETERINARIA,121
4,13,ECONOMICAS,38
4,13,EXACTAS,105
4,13,HUMANAS,59
4,13,VETERINARIA,56
4,14,ECONOMICAS,33
4,14,EXACTAS,52
4,14,HUMANAS,47
4,14,VETERINARIA,28
5,11,ECONOMICAS,38
5,11,EXACTAS,56
5,11,HUMANAS,32
5,11,VETERINARIA,70
5,12,ECONOMICAS,32
5,12,EXACTAS,109
5,12,HUMANAS,56
5,12,VETERINARIA,91
5,13,ECONOMICAS,33
5,13,EXACTAS,84
5,13,HUMANAS,68
5,13,VETERINARIA,46
5,14,ECONOMICAS,26
5,14,EXACTAS,43
5,14,HUMANAS,48
5,14,VETERINARIA,23
6,11,ECONOMICAS,27
6,11,EXACTAS,47
6,11,HUMANAS,33
6,11,VETERINARIA,56
6,12,ECONOMICAS,31
6,12,EXACTAS,98
6,12,HUMANAS,56
6,12,VETERINARIA,71
6,13,ECONOMICAS,29
6,13,EXACTAS,73
6,13,HUMANAS,69
6,13,VETERINARIA,46
6,14,ECONOMICAS,23
6,14,EXACTAS,39
6,14,HUMANAS,41
6,14,VETERINARIA,23
7,11,ECONOMICAS,5
7,11,EXACTAS,21
7,11,HUMANAS,8
7,11,VETERINARIA,21
7,12,ECONOMICAS,10
7,12,EXACTAS,71
7,12,HUMANAS,20
7,12,VETERINARIA,34
7,13,ECONOMICAS,11
7,13,EXACTAS,53
7,13,HUMANAS,23
7,13,VETERINARIA,26
7,14,ECONOMICAS,6
7,14,EXACTAS,17
7,14,HUMANAS,14
7,14,VETERINARIA,12
8,11,ECONOMICAS,22
8,11,EXACTAS,66
8,11,HUMANAS,20
8,11,VETERINARIA,59
8,12,ECONOMICAS,17
8,12,EXACTAS,104
8,12,HUMANAS,38
8,12,VETERINARIA,88
8,13,ECONOMICAS,24
8,13,EXACTAS,64
8,13,HUMANAS,49
8,13,VETERINARIA,40
8,14,ECONOMICAS,19
8,14,EXACTAS,32
8,14,HUMANAS,29
8,14,VETERINARIA,20
9,11,ECONOMICAS,35
9,11,EXACTAS,46
9,11,HUMANAS,25
9,11,VETERINARIA,89
9,12,ECONOMICAS,30
9,12,EXACTAS,83
9,12,HUMANAS,49
9,12,VETERINARIA,106
9,13,ECONOMICAS,39
9,13,EXACTAS,58
9,13,HUMANAS,59
9,13,VETERINARIA,49
9,14,ECONOMICAS,31
9,14,EXACTAS,31
9,14,HUMANAS,36
9,14,VETERINARIA,25
10,11,ECONOMICAS,26
10,11,EXACTAS,50
10,11,HUMANAS,25
10,11,VETERINARIA,61
10,12,ECONOMICAS,31
10,12,EXACTAS,87
10,12,HUMANAS,48
10,12,VETERINARIA,78
10,13,ECONOMICAS,39
10,13,EXACTAS,60
10,13,HUMANAS,61
10,13,VETERINARIA,43
10,14,ECONOMICAS,25
10,14,EXACTAS,34
10,14,HUMANAS,41
10,14,VETERINARIA,24
11,11,ECONOMICAS,21
11,11,EXACTAS,33
11,11,HUMANAS,19
11,11,VETERINARIA,48
11,12,ECONOMICAS,27
11,12,EXACTAS,75
11,12,HUMANAS,44
11,12,VETERINARIA,61
11,13,ECONOMICAS,31
11,13,EXACTAS,58
11,13,HUMANAS,53
11,13,VETERINARIA,34
11,14,ECONOMICAS,19
11,14,EXACTAS,29
11,14,HUMANAS,31
11,14,VETERINARIA,19
12,11,ECONOMICAS,4
12,11,EXACTAS,12
12,11,HUMANAS,7
12,11,VETERINARIA,22
12,12,ECONOMICAS,10
12,12,EXACTAS,52
12,12,HUMANAS,16
12,12,VETERINARIA,31
12,13,ECONOMICAS,9
12,13,EXACTAS,36
12,13,HUMANAS,16
12,13,VETERINARIA,20
12,14,ECONOMICAS,4
12,14,EXACTAS,10
12,14,HUMANAS,7
12,14,VETERINARIA,10
